title,year,genre,star_power,director_popularity,budget_crore,screens,runtime_min,imdb_rating,opening_weekend_crore,box_office_crore,random_notes
Vikram,2022,Action,3,3,50.3,2255,142,8.4,89.9,332.9,792
Master,2021,Action,3,3,69.0,1907,142,7.7,79.9,283.9,83
Kaithi,2019,Action,2,3,118.6,2490,145,7.9,97.7,318.1,972
Mersal,2017,Action,3,3,85.8,1531,143,7.5,71.2,272.2,756
Theri,2016,Action,3,3,107.6,2251,128,8.4,90.1,319.1,684
Bigil,2019,Sports,3,3,97.3,2465,170,6.8,99.5,280.8,264
Sarkar,2018,Political,3,3,60.9,2743,157,7.4,106.7,359.7,798
Kabali,2016,Action,3,3,96.3,3104,139,6.9,118.4,390.8,313
Kaala,2018,Drama,3,3,70.5,2797,154,8.1,117.9,373.7,846
Viswasam,2019,Family,3,2,70.3,2283,143,7.9,88.0,283.8,988
Valimai,2022,Action,3,2,82.9,2691,147,7.1,99.0,299.4,857
Darbar,2020,Action,3,2,34.2,1895,155,8.4,84.9,307.9,400
Jailer,2023,Action,3,3,115.8,2971,164,7.4,109.6,357.4,904
Ponniyin Selvan: Part 1,2022,Epic,3,3,59.9,2337,173,6.7,102.7,336.9,441
Ponniyin Selvan: Part 2,2023,Epic,3,3,110.0,2130,176,7.4,86.9,321.5,821
Leo,2023,Action,3,3,84.1,2144,146,7.8,88.7,330.2,920
Maari,2015,Comedy,2,2,126.0,1975,143,7.3,78.9,232.5,383
Asuran,2019,Drama,2,3,60.2,1842,151,9.0,80.3,283.8,790
Soorarai Pottru,2020,Drama,2,3,70.6,2915,152,8.1,111.4,318.2,983
Don,2022,Campus,2,2,90.1,1712,139,8.5,66.3,230.7,859
Thunivu,2023,Heist,3,2,13.8,2413,141,8.2,91.6,335.5,203
Beast,2022,Action,3,2,104.8,2411,162,6.4,95.1,295.5,468
Doctor,2021,Comedy,2,2,126.2,2011,175,7.1,77.0,227.9,445
Love Today,2022,RomCom,1,1,113.8,1622,147,5.6,53.4,123.5,212
Good Night,2023,SliceOfLife,1,1,102.6,1407,140,6.8,52.3,158.7,219
Aruvi,2017,Drama,1,2,75.6,1366,146,8.1,57.0,205.1,65
96,2018,Romance,1,2,118.5,1255,135,6.9,49.5,136.1,694
Maaveeran,2023,Action,2,2,112.2,1404,146,7.0,65.9,246.6,79
Kantara (Tamil dub),2022,Action,1,1,91.8,1686,156,7.4,60.6,196.2,126
Raayan,2024,Action,3,3,80.2,2793,149,8.1,107.0,404.4,136
